champion_name,total_matches,wins,win_rate
Aatrox,210,98,46.666666666666664
Ahri,424,221,52.12264150943396
Akali,377,185,49.07161803713528
Akshan,123,74,60.16260162601627
Alistar,134,68,50.74626865671642
Amumu,23,8,34.78260869565217
Anivia,48,22,45.83333333333333
Annie,15,9,60.0
Aphelios,118,61,51.69491525423729
Ashe,618,327,52.9126213592233
Aurelion Sol,14,5,35.714285714285715
Azir,57,18,31.57894736842105
Bard,271,146,53.874538745387454
Bel'Veth,96,55,57.291666666666664
Blitzcrank,146,62,42.465753424657535
Brand,53,23,43.39622641509434
Braum,199,107,53.768844221105525
Briar,13,5,38.46153846153847
Caitlyn,639,331,51.79968701095462
Camille,175,92,52.57142857142857
Cassiopeia,89,41,46.06741573033708
Cho'Gath,68,35,51.470588235294116
Corki,873,433,49.59908361970218
Darius,115,55,47.82608695652174
Diana,99,43,43.43434343434344
Dr. Mundo,71,36,50.70422535211267
Draven,210,130,61.904761904761905
Ekko,85,46,54.11764705882353
Elise,286,146,51.048951048951054
Evelynn,15,8,53.333333333333336
Ezreal,635,297,46.77165354330708
Fiddlesticks,59,31,52.54237288135594
Fiora,268,129,48.134328358208954
Fizz,61,31,50.81967213114754
Galio,262,134,51.14503816793893
Gangplank,98,56,57.14285714285714
Garen,78,37,47.43589743589743
Gnar,350,156,44.57142857142857
Gragas,354,181,51.12994350282486
Graves,537,239,44.50651769087523
Gwen,132,60,45.45454545454545
Hecarim,147,79,53.74149659863946
Heimerdinger,86,43,50.0
Illaoi,12,2,16.666666666666664
Irelia,180,90,50.0
Ivern,130,58,44.61538461538462
Janna,312,176,56.41025641025641
Jarvan IV,221,111,50.2262443438914
Jax,350,175,50.0
Jayce,224,115,51.33928571428571
Jhin,449,234,52.11581291759465
Jinx,313,156,49.84025559105431
K'Sante,378,175,46.2962962962963
Kai'Sa,242,104,42.97520661157025
Kalista,124,56,45.16129032258064
Karma,243,126,51.85185185185185
Karthus,216,108,50.0
Kassadin,75,34,45.33333333333333
Katarina,75,33,44.0
Kayle,58,31,53.44827586206896
Kayn,43,26,60.46511627906976
Kennen,88,49,55.68181818181818
Kha'Zix,164,82,50.0
Kindred,141,66,46.808510638297875
Kled,39,15,38.46153846153847
Kog'Maw,196,97,49.48979591836735
LeBlanc,177,75,42.3728813559322
Lee Sin,278,126,45.32374100719424
Leona,229,100,43.66812227074236
Lillia,78,38,48.717948717948715
Lissandra,40,20,50.0
Lucian,58,38,65.51724137931035
Lulu,371,197,53.09973045822103
Lux,272,132,48.529411764705884
Malphite,113,55,48.67256637168141
Malzahar,50,24,48.0
Maokai,76,27,35.526315789473685
Master Yi,39,20,51.28205128205128
Milio,71,39,54.929577464788736
Miss Fortune,46,21,45.65217391304348
Mordekaiser,22,7,31.818181818181817
Morgana,82,45,54.87804878048781
Naafiri,13,6,46.15384615384615
Nami,219,103,47.03196347031963
Nasus,48,21,43.75
Nautilus,473,217,45.87737843551797
Neeko,103,55,53.398058252427184
Nidalee,180,100,55.55555555555556
Nilah,11,8,72.72727272727273
Nocturne,109,54,49.54128440366973
Nunu & Willump,53,19,35.84905660377358
Olaf,108,62,57.407407407407405
Orianna,341,171,50.146627565982406
Ornn,164,86,52.4390243902439
Pantheon,75,29,38.666666666666664
Poppy,270,145,53.70370370370371
Pyke,328,147,44.81707317073171
Qiyana,123,72,58.536585365853654
Quinn,23,8,34.78260869565217
Rakan,351,180,51.28205128205128
Rammus,14,6,42.857142857142854
Rek'Sai,51,26,50.98039215686274
Rell,585,296,50.598290598290596
Renata Glasc,131,63,48.091603053435115
Renekton,380,205,53.94736842105263
Rengar,64,32,50.0
Riven,181,98,54.14364640883977
Rumble,102,57,55.88235294117647
Ryze,123,59,47.96747967479675
Samira,71,30,42.25352112676056
Sejuani,33,14,42.42424242424242
Senna,232,120,51.724137931034484
Seraphine,253,121,47.82608695652174
Sett,55,26,47.27272727272727
Shaco,91,44,48.35164835164835
Shen,137,70,51.09489051094891
Shyvana,13,7,53.84615384615385
Singed,77,40,51.94805194805194
Sion,72,33,45.83333333333333
Sivir,40,17,42.5
Skarner,348,210,60.3448275862069
Sona,76,35,46.05263157894737
Soraka,63,37,58.730158730158735
Swain,221,116,52.488687782805435
Sylas,609,296,48.60426929392447
Syndra,368,183,49.72826086956522
Tahm Kench,97,52,53.608247422680414
Taliyah,215,117,54.418604651162795
Talon,223,123,55.15695067264574
Taric,52,24,46.15384615384615
Teemo,93,45,48.38709677419355
Thresh,249,151,60.6425702811245
Tristana,122,58,47.540983606557376
Trundle,22,5,22.727272727272727
Tryndamere,42,17,40.476190476190474
Twisted Fate,83,39,46.98795180722892
Twitch,52,21,40.38461538461539
Udyr,115,58,50.43478260869565
Urgot,50,17,34.0
Varus,230,102,44.34782608695652
Vayne,65,34,52.307692307692314
Veigar,50,24,48.0
Vel'Koz,77,36,46.75324675324675
Vex,118,66,55.932203389830505
Vi,228,98,42.98245614035088
Viego,792,422,53.28282828282829
Viktor,42,28,66.66666666666666
Vladimir,150,81,54.0
Volibear,137,73,53.284671532846716
Warwick,23,15,65.21739130434783
Wukong,319,159,49.843260188087775
Xayah,119,65,54.621848739495796
Xerath,50,22,44.0
Xin Zhao,134,72,53.73134328358209
Yasuo,234,126,53.84615384615385
Yone,537,266,49.534450651769085
Yorick,11,6,54.54545454545454
Yuumi,17,7,41.17647058823529
Zac,210,104,49.523809523809526
Zed,129,57,44.18604651162791
Zeri,91,37,40.65934065934066
Ziggs,151,78,51.65562913907284
Zilean,69,40,57.971014492753625
Zoe,107,40,37.38317757009346
Zyra,97,39,40.20618556701031
